Model,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Overfit_Ratio
Lasso Regression,8.796046539312426,13.7586648225143,0.9994753163397897,0.9977317715924504,1.5641873608810843
Ridge Regression,8.772201648276019,13.771408266923041,0.9994781571767051,0.9977275679245664,1.5698918947707392
Linear Regression,8.772108806768854,13.772211646922242,0.999478168222602,0.9977273027839657,1.5700000935117382
AdaBoost,25.771384703387582,53.11809955522446,0.9954960038524903,0.9661920170465454,2.061127105375996
SVR,13.91919970191285,120.2203432013735,0.9986861341212478,0.8268230324866717,8.637015473299961
Extra Trees,5.2223845740874095,64.08043447315812,0.9998150475015799,0.9507977346419278,12.270340026491809
Random Forest,3.9875677190403045,50.763001006410285,0.9998921702382585,0.9691234490880654,12.7303169709247
Bagging,3.529813344248096,51.38890409231707,0.9999155059779536,0.9683573450228674,14.558533010267059
Decision Tree,3.049755515674887,46.175790253928646,0.9999369256834507,0.9744516488321853,15.140817031594189
Gradient Boosting,3.5191058882899395,60.8685261589847,0.9999160178145486,0.955606460190855,17.296588420805637
